Name;ATT;MID;DEF;OVR
Real Madrid;85;85;84;85
Atletico de Madrid;84;83;81;83
FC Barcelona;83;85;82;83
Sevilla FC;79;82;79;81
Villarreal CF;82;80;79;80
Real Betis;80;81;76;79
Athletic Club;80;78;79;79
Real Sociedad;78;80;78;79
RCD Espanyol;79;77;76;77
RC Celta;77;77;77;77
Getafe CF;76;78;76;77
Rayo Vallecano;79;75;76;76
Valencia CF;78;75;77;76
CA Osasuna;75;77;76;76
Girona FC;77;76;74;75
RCD Mallorca;75;75;75;75
Cadiz CF;75;74;75;75
R. Valladolid CF;74;74;74;75
Elche CF;75;73;73;74
UD Almeria;73;74;73;74
